## RECSRecommendations Upload File,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,
## RECS,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.l2category,entity.displayPrice,entity.itemType
woskwislt,Sleek Insulated Coat,"Women,Women:Coats",Stay warm but avoid that 'overstuffed' look with our Sleek Insulated Coat. It offers warmth without bulk.,http://localhost:4503/content/dam/we-retail/en/products/apparel/coats/Sleek.jpg,75,http://localhost:4503/content/we-retail/us/en/products/women/coats/sleek-insulated-coat.html,100,60,Coats,$75.00,Coat
wootwisot,Sonja Insulated Jacket,Women,"Warm and waterproof mountain performance is enhanced with stylish accents like faux fur trim, for wear both on the mountain and après-ski.",http://localhost:4503/content/dam/we-retail/en/products/apparel/coats/Sonja%20Green.jpg,189,http://localhost:4503/content/we-retail/us/en/products/women/coats/sonja-insulated-jacket.html,100,151.2,Coats,$189.00,Coat
wohisurit,Rios T Shirt,Women,The comfort of cotton blends with the technical advantage of stay-cool polyester in this sweet layering piece designed to take on the trails or just the city streets.,http://localhost:4503/content/dam/we-retail/en/products/apparel/shirts/Rios.jpg,39,http://localhost:4503/content/we-retail/us/en/products/women/shirts/rios-t-shirt.html,100,31.2,Shirts,$39.00,Shirt
wootsudet,Devi Sleeveless Shirt,Women,Street-style inspiration with performance details set the Devi Shirt apart from the rest of your closet.,http://localhost:4503/content/dam/we-retail/en/products/apparel/shirts/Devi.jpg,45,http://localhost:4503/content/we-retail/us/en/products/women/shirts/devi-sleeveless-shirt.html,100,36,Shirts,$45.00,Shirt
woswsusoc,Soleil Tunic,Women,This lightweight silk/cotton tunic-style top doubles as the perfect swim cover up.,http://localhost:4503/content/dam/we-retail/en/products/apparel/shirts/Soleil%20Yellow.jpg,69,http://localhost:4503/content/we-retail/us/en/products/women/shirts/soleil-tunic.html,100,55.2,Shirts,$69.00,Shirt
331050524,Hiking Pants,Women,"Stay cool, crisp and dry. High performance materials breathe well while giving you flexibility during those long treks. ",http://localhost:4503/content/dam/we-retail/en/products/apparel/pants/331050524.jpg,86.99,http://localhost:4503/content/we-retail/us/en/products/women/pants/hiking-pants.html,100,69.59,Pants,$86.99,Pants
116138647,Faba Running Pants,Women,"So versatile you'll wear it for running, yoga, or even just lounging around on the weekends. Super cool stretch material fits your every move.",http://localhost:4503/content/dam/we-retail/en/products/apparel/pants/116138647.jpg,39.99,http://localhost:4503/content/we-retail/us/en/products/women/pants/faba-running-pants.html,100,31.99,Pants,$39.99,Pants
wohisufls,Fleet Fox Running Shorts,Women,"These shorts live up to their name with an ultra-flattering fit and performance styling. Featuring details like a comfortable elastic waist with mesh brief and a hidden media pocket, you're sure to keep the competition on their toes.",http://localhost:4503/content/dam/we-retail/en/products/apparel/shorts/Fleet%20Fox.jpg,35,http://localhost:4503/content/we-retail/us/en/products/women/shorts/fleet-fox-running-shorts.html,100,28,Shorts,$35.00,Shorts
wohisucat,Candide Trail Short,Women,The best of all possible worlds: The Candide short can go just about anywhere thanks to a versatile fabric blend.,http://localhost:4503/content/dam/we-retail/en/products/apparel/shorts/Candide.jpg,48,http://localhost:4503/content/we-retail/us/en/products/women/shorts/candide-trail-short.html,100,38.4,Shorts,$48.00,Shorts
wohisudes,Desert Sky Shorts,Women,"Soft and relaxed, these twill shorts have been sandwashed for an extra smooth, light drape.",http://localhost:4503/content/dam/we-retail/en/products/apparel/shorts/Desert%20Sky.jpg,35,http://localhost:4503/content/we-retail/us/en/products/women/shorts/desert-sky-shorts.html,100,28,Shorts,$35.00,Shorts
